Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run1_S1989,run1_1989_S1989_L001_R1_001.fastq.gz,,,run1_1989_S1989_L001_R2_001.fastq.gz,,
run7_S92,run7_92_S92_L001_R1_001.fastq.gz,,,run7_92_S92_L001_R2_001.fastq.gz,,
run2_S57,run2_57_S57_L001_R1_001.fastq.gz,,,run2_57_S57_L001_R2_001.fastq.gz,,
run3_S23,run3_23_S23_L001_R1_001.fastq.gz,,,run3_23_S23_L001_R2_001.fastq.gz,,
run7_S50,run7_50_S50_L001_R1_001.fastq.gz,,,run7_50_S50_L001_R2_001.fastq.gz,,
run9_S74,run9_74_S74_L001_R1_001.fastq.gz,,,run9_74_S74_L001_R2_001.fastq.gz,,
run7_S71,run7_71_S71_L001_R1_001.fastq.gz,,,run7_71_S71_L001_R2_001.fastq.gz,,
run3_S10,run3_10_S10_L001_R1_001.fastq.gz,,,run3_10_S10_L001_R2_001.fastq.gz,,
run4_S2987,run4_2987_S2987_L001_R1_001.fastq.gz,,,run4_2987_S2987_L001_R2_001.fastq.gz,,
run8_S53,run8_53_S53_L001_R1_001.fastq.gz,,,run8_53_S53_L001_R2_001.fastq.gz,,
run4_S2990,run4_2990_S2990_L001_R1_001.fastq.gz,,,run4_2990_S2990_L001_R2_001.fastq.gz,,
run1_S59,run1_59_S59_L001_R1_001.fastq.gz,,,run1_59_S59_L001_R2_001.fastq.gz,,
run4_S3737,run4_3737_S3737_L001_R1_001.fastq.gz,,,run4_3737_S3737_L001_R2_001.fastq.gz,,
run3_S48,run3_48_S48_L001_R1_001.fastq.gz,,,run3_48_S48_L001_R2_001.fastq.gz,,
run8_S34,run8_34_S34_L001_R1_001.fastq.gz,,,run8_34_S34_L001_R2_001.fastq.gz,,
run5_S48,run5_48_S48_L001_R1_001.fastq.gz,,,run5_48_S48_L001_R2_001.fastq.gz,,
run4_S1807,run4_1807_S1807_L001_R1_001.fastq.gz,,,run4_1807_S1807_L001_R2_001.fastq.gz,,
run9_S48,run9_48_S48_L001_R1_001.fastq.gz,,,run9_48_S48_L001_R2_001.fastq.gz,,
run9_S26,run9_26_S26_L001_R1_001.fastq.gz,,,run9_26_S26_L001_R2_001.fastq.gz,,
run8_S83,run8_83_S83_L001_R1_001.fastq.gz,,,run8_83_S83_L001_R2_001.fastq.gz,,
run8_S71,run8_71_S71_L001_R1_001.fastq.gz,,,run8_71_S71_L001_R2_001.fastq.gz,,
run2_S3,run2_3_S3_L001_R1_001.fastq.gz,,,run2_3_S3_L001_R2_001.fastq.gz,,
run7_S40,run7_40_S40_L001_R1_001.fastq.gz,,,run7_40_S40_L001_R2_001.fastq.gz,,
run7_S54,run7_54_S54_L001_R1_001.fastq.gz,,,run7_54_S54_L001_R2_001.fastq.gz,,
run5_S2,run5_2_S2_L001_R1_001.fastq.gz,,,run5_2_S2_L001_R2_001.fastq.gz,,
run1_S23,run1_23_S23_L001_R1_001.fastq.gz,,,run1_23_S23_L001_R2_001.fastq.gz,,
run4_S58,run4_58_S58_L001_R1_001.fastq.gz,,,run4_58_S58_L001_R2_001.fastq.gz,,
run7_S2388,run7_2388_S2388_L001_R1_001.fastq.gz,,,run7_2388_S2388_L001_R2_001.fastq.gz,,
run8_S2990,run8_2990_S2990_L001_R1_001.fastq.gz,,,run8_2990_S2990_L001_R2_001.fastq.gz,,
run7_S86,run7_86_S86_L001_R1_001.fastq.gz,,,run7_86_S86_L001_R2_001.fastq.gz,,
run1_S2670,run1_2670_S2670_L001_R1_001.fastq.gz,,,run1_2670_S2670_L001_R2_001.fastq.gz,,
run2_S53,run2_53_S53_L001_R1_001.fastq.gz,,,run2_53_S53_L001_R2_001.fastq.gz,,
run7_S49,run7_49_S49_L001_R1_001.fastq.gz,,,run7_49_S49_L001_R2_001.fastq.gz,,
run6_S53,run6_53_S53_L001_R1_001.fastq.gz,,,run6_53_S53_L001_R2_001.fastq.gz,,
run6_S17,run6_17_S17_L001_R1_001.fastq.gz,,,run6_17_S17_L001_R2_001.fastq.gz,,
run9_S5,run9_5_S5_L001_R1_001.fastq.gz,,,run9_5_S5_L001_R2_001.fastq.gz,,
run4_S53,run4_53_S53_L001_R1_001.fastq.gz,,,run4_53_S53_L001_R2_001.fastq.gz,,
run4_S1484,run4_1484_S1484_L001_R1_001.fastq.gz,,,run4_1484_S1484_L001_R2_001.fastq.gz,,
run7_S59,run7_59_S59_L001_R1_001.fastq.gz,,,run7_59_S59_L001_R2_001.fastq.gz,,
run7_S32,run7_32_S32_L001_R1_001.fastq.gz,,,run7_32_S32_L001_R2_001.fastq.gz,,
run4_S54,run4_54_S54_L001_R1_001.fastq.gz,,,run4_54_S54_L001_R2_001.fastq.gz,,
run8_S76,run8_76_S76_L001_R1_001.fastq.gz,,,run8_76_S76_L001_R2_001.fastq.gz,,
run5_S16,run5_16_S16_L001_R1_001.fastq.gz,,,run5_16_S16_L001_R2_001.fastq.gz,,
run9_S7,run9_7_S7_L001_R1_001.fastq.gz,,,run9_7_S7_L001_R2_001.fastq.gz,,
run7_S19,run7_19_S19_L001_R1_001.fastq.gz,,,run7_19_S19_L001_R2_001.fastq.gz,,
run6_S90,run6_90_S90_L001_R1_001.fastq.gz,,,run6_90_S90_L001_R2_001.fastq.gz,,
run3_S6,run3_6_S6_L001_R1_001.fastq.gz,,,run3_6_S6_L001_R2_001.fastq.gz,,
run4_S23,run4_23_S23_L001_R1_001.fastq.gz,,,run4_23_S23_L001_R2_001.fastq.gz,,
run5_S1481,run5_1481_S1481_L001_R1_001.fastq.gz,,,run5_1481_S1481_L001_R2_001.fastq.gz,,
run1_S52,run1_52_S52_L001_R1_001.fastq.gz,,,run1_52_S52_L001_R2_001.fastq.gz,,
run4_S33,run4_33_S33_L001_R1_001.fastq.gz,,,run4_33_S33_L001_R2_001.fastq.gz,,
run3_S2567,run3_2567_S2567_L001_R1_001.fastq.gz,,,run3_2567_S2567_L001_R2_001.fastq.gz,,
run9_S68,run9_68_S68_L001_R1_001.fastq.gz,,,run9_68_S68_L001_R2_001.fastq.gz,,
run3_S64,run3_64_S64_L001_R1_001.fastq.gz,,,run3_64_S64_L001_R2_001.fastq.gz,,
run7_S1,run7_1_S1_L001_R1_001.fastq.gz,,,run7_1_S1_L001_R2_001.fastq.gz,,
run3_S29,run3_29_S29_L001_R1_001.fastq.gz,,,run3_29_S29_L001_R2_001.fastq.gz,,
run4_S17,run4_17_S17_L001_R1_001.fastq.gz,,,run4_17_S17_L001_R2_001.fastq.gz,,
run1_S70,run1_70_S70_L001_R1_001.fastq.gz,,,run1_70_S70_L001_R2_001.fastq.gz,,
run8_S50,run8_50_S50_L001_R1_001.fastq.gz,,,run8_50_S50_L001_R2_001.fastq.gz,,
run5_S63,run5_63_S63_L001_R1_001.fastq.gz,,,run5_63_S63_L001_R2_001.fastq.gz,,
run5_S65,run5_65_S65_L001_R1_001.fastq.gz,,,run5_65_S65_L001_R2_001.fastq.gz,,
run5_S31,run5_31_S31_L001_R1_001.fastq.gz,,,run5_31_S31_L001_R2_001.fastq.gz,,
run4_S2931,run4_2931_S2931_L001_R1_001.fastq.gz,,,run4_2931_S2931_L001_R2_001.fastq.gz,,
run6_S1484,run6_1484_S1484_L001_R1_001.fastq.gz,,,run6_1484_S1484_L001_R2_001.fastq.gz,,
